Bダイヤ 大垣駅 下り時刻表,,,,,,
5,普通(当駅始発),普通(当駅始発),,,,
,22,53,,,,
,米原,米原,,,,
,1,1,,,,
6,普通(当駅始発),普通(当駅始発),普通,,,
,20,28,52,,,
,米原,美濃赤坂,米原,,,
,2,3,2,,,
7,普通(当駅始発),区間快速,普通(当駅始発),,,
,7,35,41,,,
,美濃赤坂,米原,美濃赤坂,,,
,3,2,3,,,
8,普通(当駅始発),特別快速,特急しらさぎ,特別快速,普通(当駅始発),
,4,10,20,36,46,
,美濃赤坂,米原,敦賀,米原,美濃赤坂,
,3,2,2,2,3,
9,特別快速,特急しらさぎ,普通(当駅始発),特別快速,,
,6,21,30,36,,
,米原,敦賀,美濃赤坂,米原,,
,2,2,3,2,,
10,特別快速,特急しらさぎ,普通(当駅始発),普通(当駅始発),,
,6,21,38,41,,
,米原,敦賀,美濃赤坂,米原,,
,2,2,3,1,,
11,普通(当駅始発),普通(当駅始発),,,,
,11,41,,,,
,米原,米原,,,,
,2,1,,,,
12,普通(当駅始発),特急しらさぎ,普通(当駅始発),普通(当駅始発),,
,11,21,41,51,,
,米原,敦賀,米原,美濃赤坂,,
,1,2,1,3,,
13,普通(当駅始発),普通(当駅始発),,,,
,11,41,,,,
,米原,米原,,,,
,1,2,,,,
14,普通(当駅始発),特急しらさぎ,普通(当駅始発),,,
,10,21,41,,,
,米原,敦賀,米原,,,
,1,2,1,,,
15,快速,快速,普通(当駅始発),,,
,6,34,52,,,
,米原,米原,美濃赤坂,,,
,2,2,3,,,
16,快速,特急しらさぎ,快速,普通(当駅始発),,
,4,21,34,40,,
,米原,敦賀,米原,美濃赤坂,,
,2,2,2,3,,
17,快速,普通(当駅始発),新快速,特急ひだ36号,,
,4,23,34,54,,
,米原,美濃赤坂,米原,大阪,,
,2,3,2,2,,
18,新快速,普通(当駅始発),特急しらさぎ,快速,普通(当駅始発),
,4,8,21,34,54,
,米原,美濃赤坂,敦賀,米原,美濃赤坂,
,2,3,2,2,3,
19,新快速,普通(当駅始発),新快速,,,
,4,25,34,,,
,米原,美濃赤坂,米原,,,
,2,3,2,,,
20,新快速,普通(当駅始発),特急しらさぎ,新快速,普通(当駅始発),
,4,9,21,34,55,
,米原,美濃赤坂,敦賀,米原,美濃赤坂,
,2,3,2,2,3,
21,新快速,新快速,普通(当駅始発),,,
,4,34,52,,,
,米原,米原,美濃赤坂,,,
,2,2,3,,,
22,新快速,区間快速,,,,
,4,34,,,,
,米原,米原,,,,
,2,2,,,,
23,普通(当駅始発),新快速,,,,
,9,25,,,,
,美濃赤坂,米原,,,,
,3,2,,,,
0,区間快速,,,,,
,7,,,,,
,関ケ原,,,,,
,2,,,,,
