Aダイヤ 大垣駅 上り時刻表,,,,,,,,,,,,
5,普通(当駅始発),普通(当駅始発),普通(当駅始発),普通(当駅始発),区間快速(当駅始発),,,,,,,
,0,21,31,42,51,,,,,,,
,豊橋,豊橋,豊橋/武豊,豊橋,豊橋,,,,,,,
,5,5,5,4,4,,,,,,,
6,新快速,普通(当駅始発),新快速(当駅始発),新快速,普通(当駅始発),新快速(当駅始発),ホームライナー大垣(当駅始発),,,,,
,7,13,24,38,44,53,56,,,,,
,豊橋,豊橋,豊橋,豊橋,岡崎,豊橋,名古屋,,,,,
,4,5,5,4,5,5,4,,,,,
7,新快速,普通(当駅始発),区間快速(当駅始発),快速(当駅始発),新快速,普通(当駅始発),区間快速,快速(当駅始発),新快速,普通(当駅始発),快速(当駅始発),ホームライナー大垣(当駅始発)
,1,6,11,16,22,27,32,37,42,47,52,56
,豊橋,岡崎,浜松,名古屋,豊橋,岡崎,豊橋,名古屋,豊橋,笠寺,名古屋,名古屋
,4,5,4,5,4,1,4,1,4,5,1,4
8,新快速,快速(当駅始発),特急しらさぎ,快速(当駅始発),新快速(当駅始発),快速(当駅始発),,,,,,
,1,13,18,31,40,56,,,,,,
,豊橋,豊橋,名古屋,大府,豊橋,豊橋,,,,,,
,4,1,4,1,5,5,,,,,,
9,新快速(当駅始発),快速(当駅始発),新快速(当駅始発),特急ひだ,快速(当駅始発),,,,,,,
,11,26,41,47,56,,,,,,,
,豊橋,豊橋,豊橋,高山,豊橋,,,,,,,
,5,5,5,4,1,,,,,,,
10,新快速(当駅始発),特急しらさぎ,快速(当駅始発),新快速(当駅始発),快速(当駅始発),,,,,,,
,11,17,26,41,56,,,,,,,
,豊橋,名古屋,豊橋,豊橋,豊橋,,,,,,,
,1,4,5,4,1,,,,,,,
11,新快速(当駅始発),快速(当駅始発),新快速(当駅始発),快速(当駅始発),,,,,,,,
,11,26,41,56,,,,,,,,
,豊橋,豊橋,豊橋,豊橋,,,,,,,,
,5,5,5,1,,,,,,,,
12,新快速(当駅始発),特急しらさぎ,快速(当駅始発),新快速(当駅始発),快速(当駅始発),,,,,,,
,11,17,26,41,56,,,,,,,
,豊橋,名古屋,豊橋,豊橋,豊橋,,,,,,,
,1,4,1,5,1,,,,,,,
13,新快速(当駅始発),快速(当駅始発),新快速(当駅始発),快速(当駅始発),,,,,,,,
,11,26,41,56,,,,,,,,
,豊橋,豊橋,豊橋,豊橋,,,,,,,,
,5,5,4,5,,,,,,,,
14,新快速(当駅始発),特急しらさぎ,快速(当駅始発),新快速(当駅始発),快速(当駅始発)(幸),,,,,,,
,11,17,26,41,56,,,,,,,
,豊橋,名古屋,豊橋,豊橋,豊橋,,,,,,,
,5,4,1,5,5,,,,,,,
15,特別快速(当駅始発),新快速(当駅始発),特別快速(当駅始発),新快速(当駅始発),,,,,,,,
,11,26,41,56,,,,,,,,
,豊橋,豊橋,豊橋,豊橋,,,,,,,,
,5,1,1,1,,,,,,,,
16,特別快速(当駅始発),特急しらさぎ,新快速(当駅始発),特別快速(当駅始発),新快速(当駅始発),,,,,,,
,10,17,26,41,56,,,,,,,
,豊橋,名古屋,豊橋,豊橋,豊橋,,,,,,,
,5,4,1,5,1,,,,,,,
17,特別快速(当駅始発),特急しらさぎ,新快速(当駅始発),新快速,特別快速(当駅始発),新快速(当駅始発),,,,,,
,10,17,23,34,44,59,,,,,,
,豊橋,名古屋,豊橋,豊橋,豊橋,豊橋,,,,,,
,1,4,5,4,1,1,,,,,,
18,特別快速(当駅始発),新快速(当駅始発),新快速(当駅始発),特別快速(当駅始発),新快速(当駅始発),,,,,,,
,12,23,34,44,53,,,,,,,
,豊橋,豊橋,豊橋,豊橋,豊橋,,,,,,,
,5,1,4,4,1,,,,,,,
19,新快速(当駅始発),特急しらさぎ,特別快速(当駅始発),新快速,特別快速(当駅始発),,,,,,,
,8,16,23,38,53,,,,,,,
,豊橋,名古屋,豊橋,豊橋,豊橋,,,,,,,
,1,4,1,4,5,,,,,,,
20,新快速,特別快速(当駅始発),新快速,特別快速(当駅始発),,,,,,,,
,8,23,38,53,,,,,,,,
,豊橋,浜松,豊橋,豊橋,,,,,,,,
,4,5,4,5,,,,,,,,
21,新快速,特急しらさぎ,特別快速(当駅始発),快速,新快速(当駅始発),,,,,,,
,8,20,23,38,53,,,,,,,
,豊橋,名古屋,豊橋,豊橋,豊橋,,,,,,,
,4,4,1,4,4,,,,,,,
22,快速,新快速(当駅始発),快速,快速(当駅始発),,,,,,,,
,8,23,48,59,,,,,,,,
,豊橋,豊橋,豊橋,岡崎,,,,,,,,
,5,1,4,4,,,,,,,,
23,快速,普通(当駅始発),,,,,,,,,,
,17,36,,,,,,,,,,
,豊橋,名古屋,,,,,,,,,,
,4,4,,,,,,,,,,
