Aダイヤ 博多駅 上り時刻表,,,,,,,,,,,,
5,普通,普通,,,,,,,,,,
,13,52,,,,,,,,,,
,大牟田,鳥栖,,,,,,,,,,
,6,7,,,,,,,,,,
6,特急リレーかもめ,快速,特急リレーかもめ,普通,普通,,,,,,,
,0,21,32,35,56,,,,,,,
,武雄温泉,荒尾,武雄温泉,江北,大牟田,,,,,,,
,6,4,3,6,5,,,,,,,
7,普通,特急リレーかもめ,普通,普通,特急みどり,普通,普通,特急ゆふ,快速,快速,特急かささぎ,普通
,5,16,20,25,28,32,41,43,46,52,55,59
,荒尾,武雄温泉,二日市,南福岡,佐世保,鳥栖,二日市,別府,南福岡,羽犬塚,肥前鹿島,久留米
,6,4,6,6,3,7,6,5,7,5,4,6
8,普通,普通,特急リレーかもめ,快速,普通,普通,普通,特急ハウステンボス･特急みどり,快速,普通,特急リレーかもめ,快速
,3,9,12,19,24,27,34,39,42,49,54,57
,南福岡,二日市,武雄温泉,南福岡,久留米,南福岡,南福岡,ハウステンボス･佐世保,鳥栖,二日市,武雄温泉,南福岡
,5,6,4,6,5,6,6,4,6,6,3,6
9,普通,普通,特急ゆふいんの森,区間快速,普通,特急ハウステンボス･特急みどり,普通,普通,,,,
,3,12,17,24,28,32,36,54,,,,
,鳥栖,二日市,由布院,鳥栖,南福岡,ハウステンボス･佐世保,鳥栖,久留米,,,,
,6,5,6,7,6,4,6,7,,,,
10,特急リレーかもめ,区間快速,特急ゆふいんの森,普通,特急かささぎ,区間快速,特急ハウステンボス･特急みどり,普通,特急リレーかもめ,区間快速,,
,4,8,11,15,18,26,31,36,53,56,,
,武雄温泉,二日市,別府,南福岡,肥前鹿島,羽犬塚,ハウステンボス･佐世保,荒木,武雄温泉,羽犬塚,,
,4,7,6,5,4,6,4,7,4,7,,
11,普通,区間快速,普通,特急みどり,普通,特急リレーかもめ,,,,,,
,6,26,33,37,47,53,,,,,,
,二日市,鳥栖,二日市,佐世保,久留米,武雄温泉,,,,,,
,6,6,7,4,7,4,,,,,,
12,快速,普通,特急ゆふ,区間快速,普通,特急ハウステンボス･特急みどり,特急リレーかもめ,区間快速,,,,
,2,9,14,27,30,37,54,59,,,,
,羽犬塚,二日市,別府,鳥栖,二日市,ハウステンボス･佐世保,武雄温泉,羽犬塚,,,,
,6,6,5,6,7,4,4,6,,,,
13,普通,普通,特急かささぎ,区間快速,特急ハウステンボス･特急みどり,普通,特急リレーかもめ,区間快速,,,,
,1,13,16,26,37,43,54,59,,,,
,久留米,二日市,肥前鹿島,鳥栖,ハウステンボス･佐世保,二日市,武雄温泉,羽犬塚,,,,
,7,7,4,5,4,5,4,6,,,,
14,普通,普通,区間快速,特急みどり,特急ゆふいんの森,普通,特急リレーかもめ,区間快速,,,,
,1,13,26,33,38,41,54,59,,,,
,久留米,二日市,鳥栖,佐世保,由布院,二日市,武雄温泉,羽犬塚,,,,
,7,7,7,4,6,7,4,6,,,,
15,普通,普通,区間快速,特急みどり,普通,快速,特急リレーかもめ,普通,,,,
,1,13,26,33,37,49,55,58,,,,
,久留米,二日市,鳥栖,佐世保,鳥栖,羽犬塚,武雄温泉,鳥栖,,,,
,7,7,5,4,7,6,4,6,,,,
16,区間快速,普通,特急みどり(リレーかもめ),区間快速,特急かささぎ,普通,快速,普通,,,,
,2,10,16,25,34,38,45,56,,,,
,二日市,久留米,佐世保,久留米,肥前鹿島,二日市,鳥栖,鳥栖,,,,
,7,5,4,6,4,7,5,7,,,,
17,特急リレーかもめ,区間快速,特急みどり(リレーかもめ),普通,快速,普通,特急かささぎ,普通,普通,普通,普通,
,1,4,14,17,20,26,32,36,39,45,54,
,武雄温泉,羽犬塚,佐世保,荒木,羽犬塚,鳥栖,肥前鹿島,南福岡,二日市,大牟田,早岐,
,4,6,4,7,6,7,3,7,6,5,6,
18,特急リレーかもめ,区間快速,特急みどり(リレーかもめ),普通,快速,特急ゆふ,普通,特急かささぎ,区間快速,普通,,
,0,4,12,15,23,30,33,38,42,54,,
,武雄温泉,久留米,佐世保,鳥栖,大牟田,大分,鳥栖,肥前鹿島,羽犬塚,荒木,,
,3,5,4,6,5,4,6,4,5,6,,
19,特急リレーかもめ,区間快速,特急みどり(リレーかもめ),普通,快速,普通,特急かささぎ,区間快速,普通,,,
,0,7,11,15,26,29,35,42,54,,,
,武雄温泉,久留米,佐世保,鳥栖,荒尾,鳥栖,肥前鹿島,久留米,久留米,,,
,3,5,4,6,5,6,3,6,5,,,
20,特急リレーかもめ,区間快速,普通,快速,特急みどり,普通,区間快速,普通,,,,
,0,6,12,22,32,35,43,47,,,,
,武雄温泉,荒尾,鳥栖,羽犬塚,佐世保,二日市,荒木,鳥栖,,,,
,4,6,5,6,4,6,5,6,,,,
21,特急リレーかもめ,普通,快速,普通,特急みどり,普通,快速,,,,,
,2,5,14,28,32,44,49,,,,,
,武雄温泉,早岐,荒木,二日市,佐世保,羽犬塚,鳥栖,,,,,
,3,5,6,6,3,6,5,,,,,
22,普通,特急リレーかもめ,普通,特急みどり,普通,区間快速,,,,,,
,0,11,20,35,46,54,,,,,,
,江北,武雄温泉,久留米,佐世保,二日市,荒尾,,,,,,
,6,3,6,4,6,5,,,,,,
23,普通,特急かささぎ201,普通,,,,,,,,,
,16,23,46,,,,,,,,,
,久留米,佐賀,久留米,,,,,,,,,
,7,7,7,,,,,,,,,
0,普通,,,,,,,,,,,
,16,,,,,,,,,,,
,南福岡,,,,,,,,,,,
,6,,,,,,,,,,,
