Aダイヤ 鳥栖駅 下り時刻表,,,,,
6,普通,リレーかもめ,普通8両,普通4両,リレーかもめ
,06,22,26,42,54
,佐世保,武雄温泉,佐賀,佐賀,武雄温泉
,2,5,6,3,5
7,普通,普通4両,リレーかもめ,普通4両,特急みどり
,00,20,40,51,57
,佐賀,江北,武雄温泉,江北,佐世保
,6,6,5,2,5
8,普通,特急かささぎ,リレーかもめ,普通4両,
,09,19,40,49,
,佐賀,肥前鹿島,武雄温泉,肥前浜,
,4,5,5,3,
9,ハウステンボス･みどり,リレーかもめ,普通,ハウステンボス･みどり,
,02,16,22,56,
,ハウステンボス･佐世保,武雄温泉,肥前鹿島,ハウステンボス･佐世保,
,5,5,3,5,
10,普通,リレーかもめ,特急かささぎ,普通,ハウステンボス･みどり
,02,24,41,53,58
,江北,武雄温泉,肥前鹿島,肥前浜,ハウステンボス･佐世保
,2,5,5,6,5
11,リレーかもめ,普通,特急みどり,,
,16,22,59,,
,武雄温泉,江北,佐世保,,
,5,4,5,,
12,普通,リレーかもめ,普通,ハウステンボス･みどり,
,03,15,46,59,
,肥前鹿島,武雄温泉,肥前浜,ハウステンボス･佐世保,
,4,5,2,5,
13,普通,リレーかもめ,特急かささぎ,普通4両,ハウステンボス･みどり
,07,15,38,48,59
,肥前鹿島,武雄温泉,肥前鹿島,江北,ハウステンボス･佐世保
,3,5,5,6,5
14,リレーかもめ,普通,普通,特急みどり,
,15,20,49,59,
,武雄温泉,肥前鹿島,肥前浜,佐世保,
,5,2,6,5,
15,リレーかもめ,普通,普通,特急みどり,
,15,31,49,58,
,武雄温泉,江北,肥前浜,佐世保,
,5,2,3,5,
16,リレーかもめ,普通,みどり(リレーかもめ),普通4両,特急かささぎ
,17,26,38,52,58
,武雄温泉,江北,佐世保,江北,肥前鹿島
,5,3,5,2,5
17,普通4両,リレーかもめ,みどり(リレーかもめ),普通,特急かささぎ
,12,20,39,44,57
,早岐,武雄温泉,佐世保,江北,肥前鹿島
,6,5,5,3,5
18,普通,リレーかもめ,普通,みどり(リレーかもめ),
,10,25,32,38,
,江北,武雄温泉,肥前浜,佐世保,
,6,5,2,3,
19,特急かささぎ,普通8両,リレーかもめ,普通,みどり(リレーかもめ)
,02,10,20,31,40
,肥前鹿島,早岐,武雄温泉,肥前浜,佐世保
,5,6,5,3,5
20,特急かささぎ,普通,リレーかもめ,普通,特急みどり
,01,05,23,28,56
,肥前鹿島,早岐,武雄温泉,肥前浜,佐世保
,5,3,5,3,5
21,普通,リレーかもめ,普通4両,特急みどり,
,09,23,46,56,
,早岐,武雄温泉,江北,佐世保,
,2,5,2,5,
22,普通4両,リレーかもめ,特急みどり,,
,10,33,54,,
,早岐,武雄温泉,佐世保,,
,6,5,5,,
23,普通8両,普通6両,特急かささぎ,,
,00,36,47,,
,江北,江北,佐賀,,
,6,6,5,,
