Aダイヤ 広島駅 下り時刻表,,,,,,
5,普通,,,,,
,55,,,,,
,あき亀山,,,,,
,4,,,,,
6,普通,普通,普通,普通,,
,14,35,43,54,,
,あき亀山,あき亀山,梅林,あき亀山,,
,4,4,4,4,,
7,普通,普通,普通,,,
,9,19,43,,,
,梅林,あき亀山,あき亀山,,,
,4,4,4,,,
8,普通,普通,普通,,,
,1,20,41,,,
,あき亀山,あき亀山,あき亀山,,,
,4,4,4,,,
9,普通,普通,普通,,,
,3,27,48,,,
,あき亀山,緑井,あき亀山,,,
,4,4,4,,,
10,普通,普通,普通,,,
,8,28,48,,,
,あき亀山,緑井,あき亀山,,,
,4,4,4,,,
11,普通,普通,普通,,,
,8,28,48,,,
,あき亀山,緑井,あき亀山,,,
,4,4,4,,,
12,普通,普通,普通,,,
,8,25,48,,,
,あき亀山,緑井,あき亀山,,,
,4,4,4,,,
13,普通,普通,普通,,,
,8,28,48,,,
,あき亀山,緑井,あき亀山,,,
,4,4,4,,,
14,普通,普通,普通,,,
,8,28,48,,,
,あき亀山,緑井,あき亀山,,,
,4,4,4,,,
15,普通,普通,普通,,,
,8,28,48,,,
,あき亀山,緑井,あき亀山,,,
,4,4,4,,,
16,普通,普通,普通,普通,普通,普通
,1,14,25,35,49,57
,緑井,あき亀山,緑井,あき亀山,緑井,あき亀山
,4,2,2,4,4,4
17,普通,普通,普通,普通,,
,13,26,36,53,,
,緑井,あき亀山,緑井,あき亀山,,
,4,4,4,4,,
18,普通,普通,普通,普通,普通,
,3,13,26,37,53,
,緑井,あき亀山,緑井,あき亀山,緑井,
,4,4,4,4,4,
19,普通,普通,普通,普通,普通,
,1,11,25,36,51,
,あき亀山,緑井,あき亀山,緑井,あき亀山,
,2,2,4,4,4,
20,普通,普通,普通,普通,,
,5,13,26,47,,
,緑井,あき亀山,緑井,あき亀山,,
,4,3,4,4,,
21,普通,普通,普通,普通,,
,0,14,27,48,,
,緑井,あき亀山,緑井,あき亀山,,
,4,4,4,4,,
22,普通,普通,,,,
,9,38,,,,
,あき亀山,あき亀山,,,,
,4,3,,,,
23,普通,普通,,,,
,14,41,,,,
,あき亀山,あき亀山,,,,
,4,4,,,,
