Aダイヤ 鶴橋駅 下り時刻表,,,,,,,,,,,,,,,,,,
5,普通,普通,普通,,,,,,,,,,,,,,,
,21,40,54,,,,,,,,,,,,,,,
,大和西大寺,大和西大寺,東花園,,,,,,,,,,,,,,,
,1,1,1,,,,,,,,,,,,,,,
6,準急,普通,区準,普通,快急,普通,快急,準急,普通,快急,,,,,,,,
,3,8,18,26,28,39,44,47,54,58,,,,,,,,
,大和西大寺,東花園,大和西大寺,東生駒,大和西大寺,大和西大寺,奈良,奈良,東花園,奈良,,,,,,,,
,1,1,1,1,1,1,1,1,1,1,,,,,,,,
7,区準,普通,快急,準急,普通,快急,区準,普通,快急,準急,普通,快急,普通,快急,準急,普通,,
,1,8,13,15,20,26,28,33,38,41,45,47,50,52,55,57,,
,奈良,奈良,奈良,大和西大寺,東花園,奈良,奈良,大和西大寺,奈良,大和西大寺,東生駒,奈良,奈良,奈良,大和西大寺,東花園,,
,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,
8,快急,普通,快急,区準,普通,快急,準急,普通,快急,区準,普通,快急,準急,快急,普通,快急,区準,急行
,2,7,10,13,15,17,20,25,28,33,38,40,42,45,47,52,55,58
,奈良,東花園,奈良,大和西大寺,大和西大寺,奈良,大和西大寺,東花園,奈良,奈良,奈良,奈良,大和西大寺,奈良,東花園,奈良,大和西大寺,大和西大寺
,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,普通,快急,区準,普通,快急,特急,普通,快急,普通,区準,快急,普通,区準,快急,普通,,,
,1,3,11,13,16,20,25,28,30,38,40,42,47,50,53,,,
,東花園,奈良,大和西大寺,奈良,奈良,京都,大和西大寺,奈良,東花園,大和西大寺,大和西大寺,東花園,大和西大寺,奈良,大和西大寺,,,
,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
10,快急,普通,急行,区準,普通,快急,普通,急行,区準,普通,快急,普通,区準,快急,普通,,,
,0,3,8,10,12,18,23,28,30,33,38,41,48,50,53,,,
,大和西大寺,東花園,奈良,大和西大寺,大和西大寺,奈良,東花園,奈良,大和西大寺,奈良,奈良,東花園,大和西大寺,奈良,大和西大寺,,,
,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
11,快急,普通,急行,普通,区準,快急,普通,快急,普通,急行,普通,区準,快急,普通,,,,
,0,3,8,11,18,20,23,30,33,38,41,48,50,53,,,,
,奈良,大和西大寺,奈良,東花園,奈良,奈良,大和西大寺,奈良,大和西大寺,奈良,東花園,大和西大寺,奈良,大和西大寺,,,,
,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
12,快急,普通,急行,普通,区準,快急,普通,快急,普通,急行,普通,区準,快急,普通,,,,
,0,3,8,11,18,20,23,30,33,38,41,48,50,53,,,,
,奈良,大和西大寺,奈良,東花園,大和西大寺,奈良,大和西大寺,奈良,大和西大寺,奈良,東花園,奈良,奈良,大和西大寺,,,,
,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
13,快急,普通,急行,普通,区準,快急,普通,快急,普通,急行,普通,区準,快急,普通,,,,
,0,3,8,11,18,20,23,30,33,38,41,48,50,53,,,,
,奈良,大和西大寺,奈良,東花園,大和西大寺,奈良,大和西大寺,奈良,大和西大寺,奈良,東花園,大和西大寺,奈良,大和西大寺,,,,
,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
14,快急,普通,急行,普通,区準,快急,普通,快急,普通,急行,普通,区準,快急,普通,,,,
,0,3,8,11,18,20,23,30,33,38,41,48,50,53,,,,
,奈良,大和西大寺,奈良,東花園,大和西大寺,奈良,大和西大寺,奈良,大和西大寺,奈良,東花園,奈良,奈良,大和西大寺,,,,
,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
15,快急,普通,急行,普通,区準,快急,普通,快急,普通,急行,普通,区準,快急,普通,,,,
,0,3,8,11,18,20,23,30,33,38,41,48,50,53,,,,
,奈良,大和西大寺,奈良,東花園,大和西大寺,奈良,大和西大寺,奈良,大和西大寺,奈良,東花園,奈良,奈良,大和西大寺,,,,
,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
16,快急,普通,急行,普通,区準,快急,普通,快急,普通,急行,区準,普通,,快急,普通,準急,,
,0,3,8,11,18,20,23,30,33,38,41,43,46,49,51,55,,
,奈良,大和西大寺,奈良,東花園,大和西大寺,奈良,大和西大寺,奈良,東花園,奈良,大和西大寺,東花園,奈良,奈良,東生駒,奈良,,
,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,
17,快急,普通,準急,普通,快急,普通,急行,特急,準急,普通,快急,普通,急行,特急,準急,普通,快急,普通
,0,2,8,11,13,18,23,25,28,31,33,38,43,45,48,51,53,58
,奈良,東生駒,大和西大寺,大和西大寺,奈良,東生駒,奈良,奈良,大和西大寺,奈良,奈良,東生駒,奈良,奈良,大和西大寺,大和西大寺,大和西大寺,東生駒
,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
18,急行,準急,普通,快急,普通,急行,特急,準急,普通,快急,普通,急行,特急,準急,普通,快急,普通,
,3,8,11,13,18,23,25,28,31,33,38,43,45,48,51,53,58,
,奈良,大和西大寺,奈良,奈良,東生駒,奈良,奈良,大和西大寺,大和西大寺,奈良,東生駒,奈良,奈良,奈良,奈良,奈良,東生駒,
,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
19,急行,準急,普通,快急,普通,急行,特急,準急,普通,快急,普通,急行,特急,準急,普通,快急,普通,
,3,8,11,13,18,23,25,28,31,33,38,43,45,48,51,53,58,
,奈良,奈良,大和西大寺,奈良,東生駒,奈良,奈良,奈良,奈良,奈良,東生駒,奈良,奈良,大和西大寺,奈良,奈良,石切,
,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
20,急行,普通,準急,快急,普通,急行,特急,区準,普通,快急,準急,特急,普通,急行,区準,,,
,3,8,10,13,20,23,25,28,33,38,43,45,47,53,58,,,
,奈良,大和西大寺,大和西大寺,奈良,東花園,奈良,奈良,奈良,奈良,奈良,大和西大寺,奈良,東花園,奈良,奈良,,,
,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
21,普通,快急,普通,急行,区準,特急,普通,快急,区準,普通,急行,区準,特急,普通,快急,,,
,3,8,13,18,22,25,28,31,33,40,44,47,50,53,58,,,
,大和西大寺,奈良,東花園,奈良,大和西大寺,奈良,東花園,奈良,大和西大寺,東花園,奈良,奈良,奈良,東花園,奈良,,,
,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
22,区準,普通,急行,区準,普通,特急,区準,快急,普通,急行,普通,特急,区準,普通,快急,,,
,4,6,10,13,18,25,28,30,33,42,44,50,52,56,59,,,
,奈良,東花園,奈良,奈良,東花園,奈良,大和西大寺,奈良,大和西大寺,奈良,東花園,奈良,奈良,東花園,奈良,,,
,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
23,区準,普通,急行,普通,区準,普通,特急,準急,普通,急行,,,,,,,,
,7,11,18,21,27,31,35,40,48,52,,,,,,,,
,大和西大寺,大和西大寺,奈良,東花園,奈良,大和西大寺,奈良,大和西大寺,東花園,奈良,,,,,,,,
,1,1,1,1,1,1,1,1,1,1,,,,,,,,
0,区準,普通,,,,,,,,,,,,,,,,
,1,11,,,,,,,,,,,,,,,,
,奈良,東花園,,,,,,,,,,,,,,,,
,1,1,,,,,,,,,,,,,,,,
