Aダイヤ 名古屋駅 下り時刻表,,,,,,,,,,,,,,,,,,,,,
5,普通,急行,普通,急行,特急U,,,,,,,,,,,,,,,,
,18,30,36,50,58,,,,,,,,,,,,,,,,
,津新町,鳥羽,伊勢中川,伊勢中川,上本町,,,,,,,,,,,,,,,,
,1,3,1,3,5,,,,,,,,,,,,,,,,
6,普通,急行,普通,特急U,急行,普通,特急U,急行,普通,,,,,,,,,,,,
,01,10,21,30,31,41,50,51,55,,,,,,,,,,,,
,津新町,鳥羽,伊勢中川,大阪難波,鳥羽,四日市,賢島,伊勢中川,富吉,,,,,,,,,,,,
,1,3,1,5,3,1,5,3,1,,,,,,,,,,,,
7,特急H,急行,特急,準急,普通,特急H,準急,普通,特急U,急行,準急,普通,急行,準急,特急,普通,,,,,
,00,08,10,11,13,17,24,25,30,31,35,37,40,44,50,51,,,,,
,大阪難波,松阪,賢島,四日市,伊勢中川,大阪難波,富吉,富吉,大阪難波,五十鈴川,四日市,富吉,伊勢中川,四日市,五十鈴川,塩浜,,,,,
,5,3,4,2,1,4,2,1,4,3,2,1,3,2,5,1,,,,,
8,特急H,急行,普通,特急I,準急,普通,急行,普通,特急U,準急,普通,急行,準急,普通,特急V,普通,,,,,
,00,01,05,10,12,15,19,24,30,31,33,38,40,42,50,51,,,,,
,大阪難波,松阪,津新町,鳥羽,富吉,富吉,五十鈴川,富吉,大阪難波,四日市,富吉,松阪,四日市,富吉,五十鈴川,塩浜,,,,,
,5,3,1,1,2,1,3,1,5,2,1,3,2,1,5,1,,,,,
9,特急H,急行,準急,特急U,普通,急行,特急U,普通,急行,準急,特急,普通,,,,,,,,,
,00,01,05,10,12,21,30,31,41,45,50,51,,,,,,,,,
,大阪難波,松阪,富吉,賢島,津新町,五十鈴川,大阪難波,津新町,松阪,富吉,五十鈴川,塩浜,,,,,,,,,
,5,3,2,2,1,3,5,1,3,2,4,1,,,,,,,,,
10,特急H,急行,準急,特急V,普通,急行,特急S,準急,特急U,普通,急行,特急,普通,,,,,,,,
,00,01,06,10,11,21,25,26,30,32,41,50,51,,,,,,,,
,大阪難波,松阪,富吉,鳥羽,富吉,五十鈴川,賢島,四日市,大阪難波,津新町,松阪,五十鈴川,富吉,,,,,,,,
,5,3,2,5,1,3,5,2,5,1,3,5,1,,,,,,,,
11,特急H,急行,準急,特急I,普通,急行,準急,特急U,普通,急行,特急,普通,,,,,,,,,
,00,01,07,10,11,21,27,30,32,41,50,51,,,,,,,,,
,大阪難波,松阪,四日市,賢島,富吉,五十鈴川,四日市,大阪難波,津新町,松阪,五十鈴川,富吉,,,,,,,,,
,5,3,2,4,1,3,2,5,1,3,5,1,,,,,,,,,
12,特急H,急行,準急,特急,普通,急行,準急,特急U,普通,急行,特急,普通,,,,,,,,,
,00,01,07,10,11,21,27,30,31,41,50,51,,,,,,,,,
,大阪難波,松阪,四日市,賢島,富吉,五十鈴川,四日市,大阪難波,津新町,松阪,五十鈴川,富吉,,,,,,,,,
,5,3,2,4,1,3,2,5,1,3,5,1,,,,,,,,,
13,特急H,急行,準急,特急V,普通,急行,準急,特急U,普通,急行,特急,普通,,,,,,,,,
,00,01,07,10,11,21,27,30,31,41,50,51,,,,,,,,,
,大阪難波,松阪,四日市,賢島,富吉,五十鈴川,四日市,大阪難波,津新町,五十鈴川,鳥羽,富吉,,,,,,,,,
,5,3,2,4,1,3,2,5,1,3,5,1,,,,,,,,,
14,特急H,急行,準急,特急,普通,急行,準急,特急U,普通,急行,特急,普通,,,,,,,,,
,00,01,07,10,11,21,27,30,31,41,50,51,,,,,,,,,
,大阪難波,松阪,四日市,賢島,富吉,松阪,四日市,大阪難波,伊勢中川,五十鈴川,鳥羽,富吉,,,,,,,,,
,5,3,2,5,1,3,2,2,1,3,5,1,,,,,,,,,
15,特急H,急行,準急,特急U,普通,急行,準急,特急U,普通,急行,特急,普通,,,,,,,,,
,00,01,07,10,11,21,27,30,31,41,50,51,,,,,,,,,
,大阪難波,松阪,四日市,賢島,富吉,松阪,四日市,大阪難波,伊勢中川,五十鈴川,鳥羽,津新町,,,,,,,,,
,5,3,2,4,1,3,2,2,1,3,5,1,,,,,,,,,
16,特急H,急行,普通,準急,特急I,普通,急行,準急,特急U,普通,急行,特急,普通,,,,,,,,
,00,01,03,08,10,16,21,26,30,33,41,50,51,,,,,,,,
,大阪難波,松阪,津新町,富吉,賢島,富吉,松阪,四日市,大阪難波,津新町,五十鈴川,鳥羽,津新町,,,,,,,,
,5,3,1,2,4,1,3,2,2,1,3,5,1,,,,,,,,
17,特急H,急行,普通,特急I,急行,普通,準急,特急U,急行,普通,準急,特急,急行,普通,準急,,,,,,
,00,01,05,10,15,17,25,30,31,34,39,45,47,49,57,,,,,,
,大阪難波,松阪,津新町,賢島,宇治山田,富吉,四日市,大阪難波,伊勢中川,富吉,四日市,五十鈴川,松阪,富吉,四日市,,,,,,
,5,3,1,4,3,1,2,2,3,1,2,4,3,1,2,,,,,,
18,特急H,特急U,急行,普通,準急,特急V,急行,普通,準急,特急U,急行,普通,準急,特急,急行,普通,準急,,,,
,00,02,04,05,10,15,17,19,26,30,31,34,39,45,46,48,52,,,,
,大阪難波,五十鈴川,五十鈴川,富吉,四日市,賢島,伊勢中川,富吉,四日市,大阪難波,松阪,富吉,四日市,鳥羽,松阪,富吉,四日市,,,,
,5,4,3,1,2,4,3,1,2,5,3,1,2,5,3,1,2,,,,
19,特急H,特急,急行,普通,準急,特急V,急行,普通,準急,特急U,急行,普通,準急,特急,急行,普通,,,,,
,00,02,04,05,10,15,16,18,27,30,31,34,41,45,49,51,,,,,
,大阪難波,五十鈴川,伊勢中川,富吉,四日市,五十鈴川,鳥羽,富吉,四日市,大阪難波,松阪,富吉,四日市,賢島,宇治山田,津新町,,,,,
,5,4,3,1,2,4,3,1,2,2,3,1,2,4,3,1,,,,,
20,特急H,急行,普通,特急V,急行,普通,特急U,急行,普通,準急,特急,急行,普通,,,,,,,,
,00,04,05,10,16,20,30,31,33,40,45,49,51,,,,,,,,
,大阪難波,松阪,伊勢中川,五十鈴川,津新町,塩浜,大阪難波,五十鈴川,富吉,四日市,五十鈴川,松阪,伊勢中川,,,,,,,,
,5,3,1,5,3,1,5,3,1,2,4,3,1,,,,,,,,
21,特急H,急行,特急U,普通,急行,特急U,普通,急行,特急U,普通,,,,,,,,,,,
,00,04,10,11,21,30,31,41,45,51,,,,,,,,,,,
,大阪難波,津新町,鳥羽,津新町,松阪,大阪難波,伊勢中川,伊勢中川,宇治山田,富吉,,,,,,,,,,,
,5,3,4,1,3,5,1,3,4,1,,,,,,,,,,,
22,準急,特急I,急行,普通,特急U,普通,急行,特急I,普通,準急,,,,,,,,,,,
,02,05,10,11,20,26,34,45,46,55,,,,,,,,,,,
,四日市,宇治山田,伊勢中川,伊勢中川,名張,四日市,津新町,松阪,富吉,四日市,,,,,,,,,,,
,2,5,3,1,5,1,3,5,1,2,,,,,,,,,,,
23,急行,特急,普通,準急,普通,準急,普通,急行,,,,,,,,,,,,,
,03,10,11,20,29,40,46,58,,,,,,,,,,,,,
,津新町,津,桑名,富吉,富吉,四日市,富吉,四日市,,,,,,,,,,,,,
,3,5,1,2,1,2,1,3,,,,,,,,,,,,,
0,普通,,,,,,,,,,,,,,,,,,,,
,04,,,,,,,,,,,,,,,,,,,,
,富吉,,,,,,,,,,,,,,,,,,,,
,1,,,,,,,,,,,,,,,,,,,,
